VIH.DE,VIB Vermoegen AG
DEZ.DE,Deutz AG
ALV.DE,Allianz SE
DAI.DE,Daimler AG
NLB1.DE,Nobel Biocare Holding AG
OCI1.DE,Actividades de Construcci?n y Servicios, S.A.
O5H.DE,OpenLimit Holding AG
KIN2.DE,Kinross Gold Corporation
QSC.DE,QSC  AG
ZCT1.DE,Zimtu Capital Corp.
FMC1.DE,Ford Motor Co.
OHB.DE,OHB SE
ACR.DE,Accor S.A.
RYS1.DE,The Royal Bank of Scotland Group plc
FB2A.DE,Facebook, Inc.
COK.DE,Cancom SE
IVU.DE,IVU Traffic Technologies AG
AAD.DE,Amadeus FiRe AG
PQL.DE,POLIS Immobilien AG
IFM.DE,IFM Immobilien AG
YB1.DE,Youbisheng Green Paper AG
VQKA.DE,ReneSola Ltd.
MDT.DE,MEDTRONIC
SQU.DE,VINCI S.A.
7KT.DE,KTG Agrar SE
SRT.DE,Sartorius Aktiengesellschaft
SOW.DE,Software Aktiengesellschaft
IC8.DE,InCity Immobilien AG
AIXA.DE,Aixtron SE
SZU.DE,Suedzucker AG
JEN.DE,Jenoptik AG
SZG.DE,Salzgitter AG
UTDI.DE,United Internet AG
KMY.DE,Kimberly-Clark Corporation
FME.DE,Fresenius Medical Care AG & Co. KGAA
FNTN.DE,freenet AG
9VD.DE,Velocity Data Inc.
ZFIN.DE,Zurich Insurance Group AG
VT9.DE,VTG Aktiengesellschaft
DWNI.DE,Deutsche Wohnen AG
DLX.DE,Delignit AG
AS1.DE,AS Abwicklung und Solar-Service AG
RNY.DE,Yamana Gold, Inc.
F3C.DE,SFC Energy AG
EDGA.DE,Gold Fields Ltd.
SAP.DE,SAP SE
BMSA.DE,Braas Monier Building Group S.A.
HDD.DE,Heidelberger Druckmaschinen Aktiengesellschaft
PNE3.DE,PNE Wind AG
INW.DE,GROUP Business Software AG
WLV2.DE,W?rttembergische Lebensversicherung Aktiengesellschaft
ZAL.DE,Zalando SE
SIX3.DE,Sixt Societas Europaea
MA1.DE,MAX21 Management und Beteiligungen AG
BEI.DE,Beiersdorf AG
SHF.DE,SNP Schneider-Neureither & Partner AG
AMD.DE,Advanced Micro Devices, Inc.
RAE.DE,China Rare Earth Holdings Ltd.
K8A.DE,Kandi Technologies Group, Inc.
SYK.DE,Stryker Corporation
IQPB.DE,iQ Power Licensing AG
T1L.DE,S IMMO AG
VOW3.DE,Volkswagen AG3
OAL.DE,Apollo Enterprise Solutions, Ltd.
KBU.DE,Colonia Real Estate AG
0C2.DE,Chubu Electric Power Company, Incorporated
P2G1.DE,bwin.party digital entertainment plc
WSV2.DE,Vienna Insurance Group AG
AFX.DE,Carl Zeiss Meditec AG
DPB.DE,Deutsche Postbank AG
S7E.DE,Shire plc
NEM.DE,Nemetschek AG
INL.DE,Intel Corporation
SGNV.DE,Open Joint Stock Company Surgutneftegas
IBM.DE,International Business Machines Corporation
LCR.DE,Las Vegas Sands Corp.
BKN.DE,The Bank of Nova Scotia
SKB.DE,Koenig & Bauer AG
XMY.DE,mybet Holding SE
EBK.DE,EnBW Energie Baden-Wuerttemberg AG
MUX.DE,mutares AG
M8U1.DE,Hanwha Q CELLS Co., Ltd.
YI2A.DE,JA Solar Holdings Co., Ltd.
FVI.DE,Fair Value REIT-AG
DPW.DE,Deutsche Post AG
U9R.DE,Under Armour, Inc.
VSJ.DE,Advanced Vision Technology Ltd.
XCI.DE,China Unicom (Hong Kong) Limited
ZSB.DE,Sirona Biochem Corp.
AETG.DE,Public Joint Stock Company Aeroflot - Russian Airlines
SNW.DE,Sanofi
WCH.DE,Wacker Chemie AG
PAH3.DE,Porsche Automobil Holding SE
B7J.DE,SRV Group Plc
WSU.DE,Washtec AG
SYT.DE,Softing AG
RHO5.DE,Roche Holding AG
MBK.DE,Merkur Bank KGaA
BC8.DE,Bechtle AG
TTR1.DE,Technotrans AG
RSL2.DE,R. Stahl AG
ERCG.DE,Ericsson
LPK.DE,LPKF Laser & Electronics AG
BW6.DE,Bancorp Wealth Management New Zealand Limited
LLD2.DE,Lloyds Banking Group plc
MSF.DE,Microsoft Corporation
GIL.DE,DMG Mori AG
ERMK.DE,Deag Deutsche Entertainment Ag
BRYN.DE,Berkshire Hathaway Inc.
TKA.DE,ThyssenKrupp AG
YOU.DE,YOUNIQ
6MK.DE,Merck & Co. Inc.
DWNC.DE,Deutsche Wohnen AG
WIN.DE,Wincor Nixdorf Aktiengesellschaft
GBF.DE,Bilfinger SE
AHLA.DE,Alibaba Group Holding Limited
RNP.DE,Rapid Nutrition Plc
AWC.DE,American Water Works Company, Inc.
P4O.DE,Plan Optik AG
ZPFK.DE,Zapf Creation AG
ADM.DE,Archer-Daniels-Midland Company
SK1A.DE,SKW Stahl-Metallurgie Holding AG
WDP.DE,The Walt Disney Company
ZNHH.DE,China Southern Airlines Co. Ltd.
ZZMS.DE,COMMERZBANK SP ADR
DRI.DE,Drillisch Aktiengesellschaft
SRT3.DE,Sartorius Aktiengesellschaft
G24.DE,Scout24 AG
CHUA.DE,China Petroleum & Chemical Corp.
RSTA.DE,RIB Software AG
CVLB.DE,Vale S.A.
O2C.DE,C.A.T. Oil AG
V3S.DE,Vectron Systems AG
V3V.DE,VITA 34 AG
MUV2.DE,M?nchener R?ckversicherungs-Gesellschaft Aktiengesellschaft
GAZ.DE,Public Joint Stock Company Gazprom
DWD.DE,Morgan Stanley
TUI1.DE,TUI AG
GIN.DE,Givaudan SA
BUY.DE,Best Buy Co., Inc.
ISR.DE,Isra Vision AG.
FLA.DE,FinTech Group AG
BVB.DE,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien
EKT.DE,Energiekontor AG
REPA.DE,Repsol, S.A.
IU2.DE,Yara International ASA
NOEJ.DE,NORMA Group SE
SGM.DE,STMicroelectronics NV
SFQ.DE,Saf-Holland SA
KNIA.DE,Kuehne + Nagel International AG
AB3A.DE,Sarepta Therapeutics, Inc.
UHRN.DE,The Swatch Group AG
A8B.DE,Ambarella, Inc.
63DA.DE,Deutsche Boerse AG
G1A.DE,GEA Group Aktiengesellschaft
PSM.DE,ProSiebenSat.1 Media SE
CBA.DE,Brilliance China Automotive Holdings Ltd.
DRNA.DE,DAB BANK
UBRA.DE,UBS Group AG
FEW.DE,Funkwerk AG
NOT.DE,Novartis AG
BAYN.DE,Bayer AG
NDX1.DE,Nordex SE
Z1L.DE,Ler?y Seafood Group Asa
SY1.DE,Symrise AG
RHK.DE,Rh?n-Klinikum Aktiengesellschaft
DBK.DE,Deutsche Bank AG
I7N.DE,ItN Nanovation AG
LHL.DE,Lenovo Group Limited
H9W.DE,HWA AG
SCUN.DE,Schuler AG
WL6.DE,Wilex AG
M5Z.DE,Manz AG
ESY.DE,Easy Software AG
JY8.DE,Joyou AG
TL0.DE,Tesla Motors, Inc.
SDF.DE,K+S Aktiengesellschaft
HBC2.DE,HSBC Holdings plc
WRW.DE,Sierra Wireless Inc.
YP1B.DE,Prima Biomed Ltd.
C3H1.DE,Highland Copper Company Inc.
HDI.DE,The Home Depot, Inc.
EVT.DE,Evotec AG
W8A.DE,Walgreens Boots Alliance, Inc.
CNN1.DE,Canon Inc.
LXS.DE,Lanxess AG
YHO.DE,Yahoo! Inc.
SWA.DE,Schloss Wachenheim AG
O2D.DE,Telef?nica Deutschland Holding AG
M6FA.DE,Watchstone Group Plc
ZCH.DE,China Telecom Corp. Ltd.
MHH.DE,Medisana AG
FOH.DE,Fred Olsen Energy ASA
AMZ.DE,Amazon.com, Inc.
CBK.DE,Commerzbank AG
BAC.DE,Verizon Communications Inc.
TLG.DE,TLG Immobilien AG
APC.DE,Apple Inc.
