BKS3.F,BBS KRAFTFAHRZG VZ
M0X.F,MPLX
DAI.F,DAIMLER
QC1.F,NY COMMTY BANCORP
JAV2.F,ESSO THAILAND NVDR
VZ8.F,CHINA AVIATION OIL
ZEON.F,CANADIAN MINING
SKM.F,SKY PER JSAT HLDGS
UTDI.F,UNITED INTERNET N 
LHA.F,DT.LUFTHANSA N
UGI.F,SUGI HOLDINGS
OBL.F,OBIC
XCW.F,CATTOLICA ASS
OLY1.F,OLYMPUS
HNM.F,ORMAT TECHNOLOGIES
PG8.F,PLAINS GP HLDGS-A
FREA.F,FRESENIUS SP ADR
XUN.F,SHUN TAK HLDGS
YBA.F,BANCORPSOUTH
ZVR.F,SOLAR A/S
QY1.F,QUALITY SYSTEMS
21X.F,PROMETH WORLD
PM6.F,POLYMETAL INTL
QD4.F,QUANTUM ENERGY
JIX.F,JIANGXI COPPER -H-
QUS.F,QUESTAR CORP
GOI3.F,FDG ELECTRIC VEHICL
XCIA.F,CHINA UN HK SP ADR
VV0.F,VICTORY VENTURES
JE9N.F,ARIANNE PHOSPHATE
ANL.F,ANALOG DEVICES
QCQ.F,CORDY OILFIELD SVCS
HRO.F,HIROSE ELECTRIC CO
WL4N.F,INV METALS
G09.F,GENOMIC VISION
NNL.F,MONEX GROUP
BZF1.F,VMWARE-A
QGJ.F,EVERCORE PARTNERS-A
UX2A.F,XPO LOGISTICS
WI4.F,WEICHAI POWER -H-
VAI.F,VAIL RESORTS
T98.F,WRIGHT MEDICAL GR
YB2P.F,CN VANGUARD
QB3.F,QUEBECOR INC  -B-
XY8.F,BW OFFSHORE
V2M.F,VIOLIN MEMORY
ZAS.F,ASSURANT
3GZA.F,JAYA KONSTRUKSI
WEK.F,ZIOPHARM ONCOLOGY
0ZG2.F,ZILLOW GROUP-C
SRS.F,CANADIAN ZINC
TYC1.F,TAIYO YUDEN
23B.F,BRIT
QHH.F,DAI-ICHI LIFE
DRE2.F,DT REAL ESTATE
Y01A.F,YODLEE
YAV.F,SUTL ENTERPRISE
S7E.F,SHIRE
WFR.F,SUNEDISON
SPH1.F,SEKISUI HOUSE
H9B.F,HERTZ GLOBAL HLDGS
WRX1.F,WORKSPACE GRP
P7J1.F,PACIFIC NORTH WEST
WS7A.F,BINHAI INVESTMENT
KHE.F,KAWASAKI HEAVY IND
CL1A.F,WANDA HOTEL DEV
ZZA.F,CINEMARK HOLDINGS
SHA.F,SCHAEFFLER VZ
3W31.F,KAIZEN DISCOVERY
WO8.F,WALLSTR: ONLINE CAP
3NVN.F,NASS VAL GTWY
OU8.F,BEAUFIELD RESOURCES
YHA.F,YAMAHA CORP
EDD3.F,EDDING VZ
VA7A.F,VERISK ANALYTICS
JOT.F,BITTIUM
CB4.F,CAC HLDG
KA7.F,KAS BANK
4XN.F,XUNLEI SP ADS-A
0NP.F,CN NT PHARMA GR
WAF.F,SILTRONIC N
YCU.F,YUME
2JC.F,GRAPHITE ONE RES
NPY.F,NSD
0SGA.F,SIB GOLD SP ADR
YM9A.F,MAANSHAN IRON -H-
H2K1.F,XTL BIOPHARM SP ADR
WGN.F,WALGREEN
PJP.F,X5 RTL SP GDR REG-S
XB6.F,XEBEC ADSORPTION
P4W.F,PRIMO WATER
MJP.F,MORNINGSTAR JAPAN 
VIZ.F,VI(Z)RT
7PY.F,PRESS GANEY HOLDING
8ZZ.F,ZAZU METALS
TOH.F,TOHO
W5C.F,GREAT WESTERN EXPL
3VMB.F,VISIONCHINA SP ADR
WWS.F,ASSOC EST RLT REIT
ZL3.F,ZALL DEVELOPMENT
CNN1.F,CANON
05M.F,DALI FOODS 144A/S
MIU.F,SUMITOMO MITSUI T H
JP2.F,POYRY
SMZ1.F,SINO BIOPHARMA
UG8K.F,AVENG
7KJ.F,KINGOLD JEWELRY
NNIC.F,MMC NOR NICKEL ADR
TOA.F,TOSHIBA MACHINE CO
4XB.F,XBIOTECH
SWG.F,CHARLES SCHWAB
KOH.F,CHINA YUANBANG PROP
PVDA.F,STERLING BANCORP
TDF.F,TAKANO
NBO.F,NISSHINBO HLDGS
CVLC.F,VALE N1
1KG.F,KAINOS GROUP
DAP.F,DANAHER
4TR.F,THUNDERBIRD RESORTS
UMS.F,UMS UNITED MED SYST
YIN.F,SINA CORPORATION
YMO.F,YMOS
NRD.F,NORDSTROM
AT3.F,ATLAS PIPELINE
J9R.F,JAPAN STEEL WORKS
2XX.F,XXL
QS6A.F,Q-SOFT N
NGM.F,GIGAMON
VTQ.F,VERSAR INC
XIN.F,XINHUA PHARMA -H-
EXN.F,XINREN ALUMINUM
ZEL.F,ZELTIA
VO7.F,VOR RLT TR REIT-SBI
"TZ6.F,T&D; HOLDINGS"
1C8.F,CANCER GENETICS
ITTA.F,ITT
2WI.F,YUNNAN WATER -H- S
JP0.F,UNI HEALTH INTL
11P.F,PBF LOGISTICS
JGCQ.F,JET GOLD
QFB.F,ULTRA LITHIUM
WME.F,WESTMORELAND COAL
XZPN.F,VICTORY NICKEL
IZ1.F,1ST QUANTUM MINLS
0ZD.F,ZENDESK
LY1.F,LION ONE METALS
ISC1.F,ARCELORMITTAL
QSN.F,SNIPER RESOURCES
YGK.F,RANGE ENERGY RES
5GQ.F,GOLDEN QUEEN MINING
JGE.F,JULIUS BAER GRP N
UK2.F,SHANDONG WEIGAO -H-
KUG1.F,KUMAGAI GUMI CO LTD
CJI.F,JIMINEX
HYEA.F,HYSTER YALE MT-A
HI3.F,HOSA INTERNATIONAL
8MG.F,MINGFA GROUP
XKR.F,KAR AUCTION SERVICE
YIT.F,YIT
OMUB.F,OLD MUTUAL
VIS.F,VISCOFAN
XMY.F,MYBET HOLDING N
45B.F,BLACK STONE MIN
DIK.F,DENKA
CD2.F,QLIRO GROUP
YUE1.F,YUE YUEN INDUSTRIAL
EWG.F,WINGSTOP
ZTX.F,ZHUZHOU CSR TIM -H-
PHBA.F,SONOV HLDG UNSP ADR
DLR.F,DALRADIAN RES
ZAV.F,ZADAR VENTURES
TMW.F,MONSTER WORLDWIDE
ZVB.F,ZIGNAGO VETRO
ZDC.F,ZODIAC AEROSPACE
WT5.F,CAL WATER SERV GRP
XPG.F,SCHIBSTED -A-
AD5.F,ADVISORY BOARD
UNY.F,UNY GROUP HOLDINGS 
